NAME,total_units,sfr_detached,sfr_attached,two_unit,small_multifamily,mf_5_9,mf_10_19,mf_20_49,mf_50plus,state,county,tract
"Census Tract 301.03, Cobb County, Georgia",3501.0,3072.0,122.0,22.0,0.0,0.0,0.0,45.0,14.0,13,067,030103
"Census Tract 303.10, Cobb County, Georgia",2877.0,2587.0,209.0,32.0,0.0,0.0,0.0,0.0,0.0,13,067,030310
"Census Tract 303.20, Cobb County, Georgia",3847.0,1263.0,661.0,16.0,85.0,466.0,680.0,274.0,402.0,13,067,030320
"Census Tract 303.27, Cobb County, Georgia",1752.0,1741.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,067,030327
"Census Tract 303.14, Cobb County, Georgia",2741.0,2678.0,0.0,14.0,0.0,0.0,15.0,0.0,34.0,13,067,030314
"Census Tract 303.39, Cobb County, Georgia",3766.0,76.0,346.0,0.0,87.0,566.0,1306.0,661.0,712.0,13,067,030339
"Census Tract 313.07, Cobb County, Georgia",2406.0,2259.0,122.0,0.0,0.0,0.0,0.0,0.0,0.0,13,067,031307
"Census Tract 303.12, Cobb County, Georgia",2564.0,2482.0,68.0,0.0,0.0,0.0,0.0,0.0,14.0,13,067,030312
"Census Tract 310.05, Cobb County, Georgia",1790.0,1705.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,13,067,031005
"Census Tract 303.30, Cobb County, Georgia",2062.0,2054.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,067,030330
"Census Tract 307, Cobb County, Georgia",2093.0,1276.0,108.0,48.0,24.0,67.0,204.0,183.0,183.0,13,067,030700
"Census Tract 303.35, Cobb County, Georgia",1801.0,1776.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,13,067,030335
"Census Tract 312.09, Cobb County, Georgia",1891.0,1581.0,293.0,0.0,17.0,0.0,0.0,0.0,0.0,13,067,031209
"Census Tract 312.11, Cobb County, Georgia",2831.0,77.0,375.0,0.0,37.0,465.0,1016.0,553.0,308.0,13,067,031211
"Census Tract 312.12, Cobb County, Georgia",1065.0,855.0,148.0,0.0,19.0,22.0,0.0,16.0,0.0,13,067,031212
"Census Tract 313.12, Cobb County, Georgia",4079.0,2722.0,764.0,17.0,40.0,126.0,0.0,0.0,30.0,13,067,031312
"Census Tract 313.13, Cobb County, Georgia",4215.0,3319.0,767.0,0.0,90.0,39.0,0.0,0.0,0.0,13,067,031313
"Census Tract 314.08, Cobb County, Georgia",2601.0,2071.0,109.0,170.0,69.0,124.0,0.0,0.0,16.0,13,067,031408
"Census Tract 314.09, Cobb County, Georgia",2461.0,2214.0,103.0,25.0,53.0,38.0,19.0,9.0,0.0,13,067,031409
