NAME,total_households,income_under_10k,income_30_35k,income_40_45k,income_75_100k,income_100_125k,income_200k_plus,state,county,tract
"Census Tract 301.03, Cobb County, Georgia",3205.0,16.0,165.0,106.0,606.0,476.0,260.0,13,067,030103
"Census Tract 303.10, Cobb County, Georgia",2731.0,45.0,70.0,133.0,432.0,435.0,132.0,13,067,030310
"Census Tract 303.20, Cobb County, Georgia",3476.0,137.0,133.0,61.0,554.0,282.0,757.0,13,067,030320
"Census Tract 303.27, Cobb County, Georgia",1679.0,0.0,31.0,48.0,246.0,254.0,280.0,13,067,030327
"Census Tract 303.14, Cobb County, Georgia",2607.0,43.0,52.0,95.0,302.0,351.0,445.0,13,067,030314
"Census Tract 303.39, Cobb County, Georgia",3485.0,118.0,108.0,205.0,682.0,493.0,285.0,13,067,030339
"Census Tract 313.07, Cobb County, Georgia",2300.0,58.0,228.0,55.0,277.0,301.0,215.0,13,067,031307
"Census Tract 303.12, Cobb County, Georgia",2504.0,124.0,47.0,90.0,282.0,325.0,140.0,13,067,030312
"Census Tract 310.05, Cobb County, Georgia",1637.0,81.0,20.0,43.0,352.0,213.0,26.0,13,067,031005
"Census Tract 303.30, Cobb County, Georgia",2018.0,72.0,77.0,61.0,217.0,140.0,429.0,13,067,030330
"Census Tract 307, Cobb County, Georgia",1885.0,259.0,144.0,57.0,160.0,70.0,133.0,13,067,030700
"Census Tract 303.35, Cobb County, Georgia",1740.0,32.0,0.0,16.0,219.0,139.0,597.0,13,067,030335
"Census Tract 312.09, Cobb County, Georgia",1823.0,18.0,18.0,0.0,137.0,158.0,585.0,13,067,031209
"Census Tract 312.11, Cobb County, Georgia",2523.0,48.0,87.0,115.0,457.0,471.0,273.0,13,067,031211
"Census Tract 312.12, Cobb County, Georgia",1012.0,21.0,0.0,23.0,88.0,72.0,460.0,13,067,031212
"Census Tract 313.12, Cobb County, Georgia",3734.0,110.0,97.0,179.0,403.0,469.0,494.0,13,067,031312
"Census Tract 313.13, Cobb County, Georgia",4087.0,53.0,25.0,67.0,472.0,671.0,867.0,13,067,031313
"Census Tract 314.08, Cobb County, Georgia",2461.0,106.0,176.0,116.0,492.0,288.0,48.0,13,067,031408
"Census Tract 314.09, Cobb County, Georgia",2313.0,87.0,83.0,132.0,380.0,181.0,21.0,13,067,031409
"Census Tract 315.06, Cobb County, Georgia",1986.0,97.0,30.0,67.0,205.0,143.0,100.0,13,067,031506
"Census Tract 315.07, Cobb County, Georgia",1139.0,44.0,7.0,47.0,184.0,158.0,55.0,13,067,031507
"Census Tract 315.08, Cobb County, Georgia",2128.0,60.0,88.0,68.0,324.0,191.0,219.0,13,067,031508
"Census Tract 315.09, Cobb County, Georgia",3581.0,136.0,173.0,91.0,590.0,377.0,183.0,13,067,031509
"Census Tract 303.32, Cobb County, Georgia",1118.0,28.0,23.0,7.0,94.0,176.0,234.0,13,067,030332
"Census Tract 303.36, Cobb County, Georgia",2391.0,64.0,54.0,12.0,169.0,160.0,987.0,13,067,030336
"Census Tract 304.05, Cobb County, Georgia",2961.0,100.0,357.0,187.0,278.0,202.0,0.0,13,067,030405
"Census Tract 305.04, Cobb County, Georgia",2390.0,215.0,38.0,124.0,362.0,227.0,269.0,13,067,030504
"Census Tract 309.02, Cobb County, Georgia",2314.0,119.0,47.0,119.0,344.0,126.0,257.0,13,067,030902
"Census Tract 311.01, Cobb County, Georgia",2107.0,166.0,58.0,120.0,226.0,188.0,138.0,13,067,031101
"Census Tract 311.10, Cobb County, Georgia",1368.0,65.0,19.0,18.0,128.0,171.0,183.0,13,067,031110
"Census Tract 313.06, Cobb County, Georgia",1548.0,78.0,114.0,64.0,292.0,218.0,91.0,13,067,031306
"Census Tract 314.05, Cobb County, Georgia",3067.0,147.0,34.0,192.0,226.0,300.0,201.0,13,067,031405
"Census Tract 302.09, Cobb County, Georgia",2588.0,59.0,65.0,52.0,370.0,298.0,351.0,13,067,030209
"Census Tract 303.28, Cobb County, Georgia",2380.0,71.0,12.0,28.0,230.0,235.0,626.0,13,067,030328
"Census Tract 309.05, Cobb County, Georgia",2153.0,81.0,157.0,11.0,459.0,282.0,60.0,13,067,030905
"Census Tract 310.01, Cobb County, Georgia",1887.0,181.0,121.0,109.0,133.0,26.0,0.0,13,067,031001
"Census Tract 311.12, Cobb County, Georgia",2378.0,20.0,0.0,37.0,262.0,144.0,559.0,13,067,031112
