NAME,total_units,sfr_detached,sfr_attached,two_unit,small_multifamily,mf_5_9,mf_10_19,mf_20_49,mf_50plus,state,county,tract,owner_occupied,renter_occupied,owner_share,total_households,income_under_10k,income_30_35k,income_40_45k,income_75_100k,income_100_125k,income_200k_plus,total_vacant,vacant_for_rent,vacant_for_sale,GEOID
"Census Tract 301.03, Cobb County, Georgia",3501.0,3072.0,122.0,22.0,0.0,0.0,0.0,45.0,14.0,13,67,30103,2594.0,611.0,0.8093603744149765,3205.0,16.0,165.0,106.0,606.0,476.0,260.0,296.0,45.0,71.0,30183
"Census Tract 303.10, Cobb County, Georgia",2877.0,2587.0,209.0,32.0,0.0,0.0,0.0,0.0,0.0,13,67,30310,2015.0,716.0,0.737824972537532,2731.0,45.0,70.0,133.0,432.0,435.0,132.0,146.0,0.0,107.0,30390
"Census Tract 303.20, Cobb County, Georgia",3847.0,1263.0,661.0,16.0,85.0,466.0,680.0,274.0,402.0,13,67,30320,2269.0,1207.0,0.6527617951668585,3476.0,137.0,133.0,61.0,554.0,282.0,757.0,371.0,84.0,141.0,30400
"Census Tract 303.27, Cobb County, Georgia",1752.0,1741.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,67,30327,1533.0,146.0,0.9130434782608696,1679.0,0.0,31.0,48.0,246.0,254.0,280.0,73.0,0.0,0.0,30407
"Census Tract 303.14, Cobb County, Georgia",2741.0,2678.0,0.0,14.0,0.0,0.0,15.0,0.0,34.0,13,67,30314,2296.0,311.0,0.8807057920981972,2607.0,43.0,52.0,95.0,302.0,351.0,445.0,134.0,0.0,0.0,30394
"Census Tract 303.39, Cobb County, Georgia",3766.0,76.0,346.0,0.0,87.0,566.0,1306.0,661.0,712.0,13,67,30339,476.0,3009.0,0.1365853658536585,3485.0,118.0,108.0,205.0,682.0,493.0,285.0,281.0,94.0,0.0,30419
"Census Tract 313.07, Cobb County, Georgia",2406.0,2259.0,122.0,0.0,0.0,0.0,0.0,0.0,0.0,13,67,31307,1890.0,410.0,0.8217391304347826,2300.0,58.0,228.0,55.0,277.0,301.0,215.0,106.0,0.0,0.0,31387
"Census Tract 303.12, Cobb County, Georgia",2564.0,2482.0,68.0,0.0,0.0,0.0,0.0,0.0,14.0,13,67,30312,2060.0,444.0,0.8226837060702875,2504.0,124.0,47.0,90.0,282.0,325.0,140.0,60.0,0.0,0.0,30392
"Census Tract 310.05, Cobb County, Georgia",1790.0,1705.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,13,67,31005,1221.0,416.0,0.7458766035430666,1637.0,81.0,20.0,43.0,352.0,213.0,26.0,153.0,20.0,67.0,31085
"Census Tract 303.30, Cobb County, Georgia",2062.0,2054.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,67,30330,1886.0,132.0,0.9345887016848364,2018.0,72.0,77.0,61.0,217.0,140.0,429.0,44.0,0.0,0.0,30410
