NAME,total_occupied,owner_occupied,renter_occupied,state,county,tract,owner_share
"Census Tract 301.03, Cobb County, Georgia",3205.0,2594.0,611.0,13,067,030103,0.8093603744149765
"Census Tract 303.10, Cobb County, Georgia",2731.0,2015.0,716.0,13,067,030310,0.737824972537532
"Census Tract 303.20, Cobb County, Georgia",3476.0,2269.0,1207.0,13,067,030320,0.6527617951668585
"Census Tract 303.27, Cobb County, Georgia",1679.0,1533.0,146.0,13,067,030327,0.9130434782608695
"Census Tract 303.14, Cobb County, Georgia",2607.0,2296.0,311.0,13,067,030314,0.8807057920981972
"Census Tract 303.39, Cobb County, Georgia",3485.0,476.0,3009.0,13,067,030339,0.13658536585365855
"Census Tract 313.07, Cobb County, Georgia",2300.0,1890.0,410.0,13,067,031307,0.8217391304347826
"Census Tract 303.12, Cobb County, Georgia",2504.0,2060.0,444.0,13,067,030312,0.8226837060702875
"Census Tract 310.05, Cobb County, Georgia",1637.0,1221.0,416.0,13,067,031005,0.7458766035430666
"Census Tract 303.30, Cobb County, Georgia",2018.0,1886.0,132.0,13,067,030330,0.9345887016848364
"Census Tract 307, Cobb County, Georgia",1885.0,748.0,1137.0,13,067,030700,0.396816976127321
"Census Tract 303.35, Cobb County, Georgia",1740.0,1625.0,115.0,13,067,030335,0.9339080459770115
"Census Tract 312.09, Cobb County, Georgia",1823.0,1603.0,220.0,13,067,031209,0.8793198025233132
"Census Tract 312.11, Cobb County, Georgia",2523.0,766.0,1757.0,13,067,031211,0.3036068172810147
"Census Tract 312.12, Cobb County, Georgia",1012.0,967.0,45.0,13,067,031212,0.9555335968379447
"Census Tract 313.12, Cobb County, Georgia",3734.0,2959.0,775.0,13,067,031312,0.7924477771826459
"Census Tract 313.13, Cobb County, Georgia",4087.0,3277.0,810.0,13,067,031313,0.8018106190359677
"Census Tract 314.08, Cobb County, Georgia",2461.0,1514.0,947.0,13,067,031408,0.6151970743600162
"Census Tract 314.09, Cobb County, Georgia",2313.0,1670.0,643.0,13,067,031409,0.7220060527453523
"Census Tract 315.06, Cobb County, Georgia",1986.0,1471.0,515.0,13,067,031506,0.7406847935548841
"Census Tract 315.07, Cobb County, Georgia",1139.0,853.0,286.0,13,067,031507,0.7489025460930641
"Census Tract 315.08, Cobb County, Georgia",2128.0,1805.0,323.0,13,067,031508,0.8482142857142857
"Census Tract 315.09, Cobb County, Georgia",3581.0,2980.0,601.0,13,067,031509,0.8321697849762636
"Census Tract 303.32, Cobb County, Georgia",1118.0,1008.0,110.0,13,067,030332,0.9016100178890877
"Census Tract 303.36, Cobb County, Georgia",2391.0,2337.0,54.0,13,067,030336,0.9774153074027604
"Census Tract 304.05, Cobb County, Georgia",2961.0,973.0,1988.0,13,067,030405,0.32860520094562645
"Census Tract 305.04, Cobb County, Georgia",2390.0,1674.0,716.0,13,067,030504,0.700418410041841
"Census Tract 309.02, Cobb County, Georgia",2314.0,1150.0,1164.0,13,067,030902,0.4969749351771824
"Census Tract 311.01, Cobb County, Georgia",2107.0,888.0,1219.0,13,067,031101,0.42145230185097293
"Census Tract 311.10, Cobb County, Georgia",1368.0,858.0,510.0,13,067,031110,0.6271929824561403
"Census Tract 313.06, Cobb County, Georgia",1548.0,936.0,612.0,13,067,031306,0.6046511627906976
"Census Tract 314.05, Cobb County, Georgia",3067.0,2157.0,910.0,13,067,031405,0.7032931203130095
"Census Tract 302.09, Cobb County, Georgia",2588.0,2364.0,224.0,13,067,030209,0.9134466769706336
"Census Tract 303.28, Cobb County, Georgia",2380.0,2203.0,177.0,13,067,030328,0.9256302521008404
"Census Tract 309.05, Cobb County, Georgia",2153.0,1643.0,510.0,13,067,030905,0.7631212261960055
"Census Tract 310.01, Cobb County, Georgia",1887.0,460.0,1427.0,13,067,031001,0.24377318494965552
"Census Tract 311.12, Cobb County, Georgia",2378.0,1686.0,692.0,13,067,031112,0.7089991589571069
"Census Tract 315.03, Cobb County, Georgia",3257.0,2542.0,715.0,13,067,031503,0.7804728277556033
"Census Tract 303.11, Cobb County, Georgia",2171.0,1952.0,219.0,13,067,030311,0.8991248272685398
"Census Tract 303.26, Cobb County, Georgia",1449.0,1373.0,76.0,13,067,030326,0.9475500345065563
"Census Tract 305.02, Cobb County, Georgia",2646.0,2153.0,493.0,13,067,030502,0.8136810279667422
"Census Tract 305.05, Cobb County, Georgia",3012.0,573.0,2439.0,13,067,030505,0.1902390438247012
"Census Tract 308, Cobb County, Georgia",1510.0,557.0,953.0,13,067,030800,0.36887417218543045
"Census Tract 310.04, Cobb County, Georgia",3001.0,943.0,2058.0,13,067,031004,0.31422859046984336
"Census Tract 311.06, Cobb County, Georgia",3171.0,2364.0,807.0,13,067,031106,0.7455061494796594
"Census Tract 311.08, Cobb County, Georgia",2637.0,1246.0,1391.0,13,067,031108,0.4725066363291619
"Census Tract 313.08, Cobb County, Georgia",1827.0,983.0,844.0,13,067,031308,0.5380405035577449
"Census Tract 313.09, Cobb County, Georgia",2430.0,1740.0,690.0,13,067,031309,0.7160493827160493
"Census Tract 313.10, Cobb County, Georgia",2706.0,743.0,1963.0,13,067,031310,0.2745750184774575
"Census Tract 302.28, Cobb County, Georgia",3488.0,1137.0,2351.0,13,067,030228,0.3259747706422018
"Census Tract 302.30, Cobb County, Georgia",5181.0,2908.0,2273.0,13,067,030230,0.5612816058675931
"Census Tract 302.32, Cobb County, Georgia",2161.0,2038.0,123.0,13,067,030232,0.9430819065247571
"Census Tract 302.33, Cobb County, Georgia",1565.0,1443.0,122.0,13,067,030233,0.9220447284345048
"Census Tract 302.34, Cobb County, Georgia",2147.0,2068.0,79.0,13,067,030234,0.9632044713553796
"Census Tract 302.35, Cobb County, Georgia",1653.0,1606.0,47.0,13,067,030235,0.9715668481548699
"Census Tract 302.36, Cobb County, Georgia",1474.0,1383.0,91.0,13,067,030236,0.9382632293080054
"Census Tract 302.38, Cobb County, Georgia",2047.0,1877.0,170.0,13,067,030238,0.9169516365412799
"Census Tract 302.39, Cobb County, Georgia",2612.0,2469.0,143.0,13,067,030239,0.9452526799387443
"Census Tract 303.40, Cobb County, Georgia",1246.0,1219.0,27.0,13,067,030340,0.978330658105939
"Census Tract 303.41, Cobb County, Georgia",1544.0,1419.0,125.0,13,067,030341,0.9190414507772021
"Census Tract 303.42, Cobb County, Georgia",1686.0,1582.0,104.0,13,067,030342,0.9383155397390273
"Census Tract 303.43, Cobb County, Georgia",1536.0,1490.0,46.0,13,067,030343,0.9700520833333334
"Census Tract 303.44, Cobb County, Georgia",2006.0,237.0,1769.0,13,067,030344,0.11814556331006978
"Census Tract 303.45, Cobb County, Georgia",2770.0,470.0,2300.0,13,067,030345,0.16967509025270758
"Census Tract 304.07, Cobb County, Georgia",1968.0,1391.0,577.0,13,067,030407,0.7068089430894309
"Census Tract 304.08, Cobb County, Georgia",1343.0,830.0,513.0,13,067,030408,0.6180193596425912
"Census Tract 304.09, Cobb County, Georgia",1195.0,1154.0,41.0,13,067,030409,0.9656903765690377
"Census Tract 304.10, Cobb County, Georgia",2112.0,980.0,1132.0,13,067,030410,0.4640151515151515
"Census Tract 304.11, Cobb County, Georgia",870.0,135.0,735.0,13,067,030411,0.15517241379310345
"Census Tract 304.12, Cobb County, Georgia",1935.0,298.0,1637.0,13,067,030412,0.15400516795865632
"Census Tract 304.13, Cobb County, Georgia",2545.0,329.0,2216.0,13,067,030413,0.1292730844793713
"Census Tract 304.14, Cobb County, Georgia",1461.0,0.0,1461.0,13,067,030414,0.0
"Census Tract 305.06, Cobb County, Georgia",1879.0,874.0,1005.0,13,067,030506,0.4651410324640766
"Census Tract 305.07, Cobb County, Georgia",1942.0,1674.0,268.0,13,067,030507,0.8619979402677652
"Census Tract 306.01, Cobb County, Georgia",4499.0,1215.0,3284.0,13,067,030601,0.270060013336297
"Census Tract 306.02, Cobb County, Georgia",3117.0,2021.0,1096.0,13,067,030602,0.6483798524222009
"Census Tract 311.13, Cobb County, Georgia",744.0,115.0,629.0,13,067,031113,0.15456989247311828
"Census Tract 311.14, Cobb County, Georgia",3692.0,739.0,2953.0,13,067,031114,0.20016251354279524
"Census Tract 301.04, Cobb County, Georgia",1512.0,782.0,730.0,13,067,030104,0.5171957671957672
"Census Tract 301.06, Cobb County, Georgia",2628.0,1428.0,1200.0,13,067,030106,0.54337899543379
"Census Tract 301.07, Cobb County, Georgia",1692.0,1489.0,203.0,13,067,030107,0.8800236406619385
"Census Tract 302.18, Cobb County, Georgia",1662.0,1606.0,56.0,13,067,030218,0.9663056558363418
"Census Tract 302.19, Cobb County, Georgia",3301.0,3120.0,181.0,13,067,030219,0.9451681308694335
"Census Tract 302.22, Cobb County, Georgia",2030.0,1710.0,320.0,13,067,030222,0.8423645320197044
"Census Tract 302.23, Cobb County, Georgia",2386.0,1343.0,1043.0,13,067,030223,0.5628667225481978
"Census Tract 302.20, Cobb County, Georgia",581.0,517.0,64.0,13,067,030220,0.8898450946643718
"Census Tract 302.24, Cobb County, Georgia",2317.0,1701.0,616.0,13,067,030224,0.7341389728096677
"Census Tract 302.26, Cobb County, Georgia",4034.0,2715.0,1319.0,13,067,030226,0.673029251363411
"Census Tract 302.27, Cobb County, Georgia",3098.0,1875.0,1223.0,13,067,030227,0.605229180116204
"Census Tract 302.29, Cobb County, Georgia",1353.0,591.0,762.0,13,067,030229,0.43680709534368073
"Census Tract 302.31, Cobb County, Georgia",2912.0,2748.0,164.0,13,067,030231,0.9436813186813187
"Census Tract 311.15, Cobb County, Georgia",1720.0,1173.0,547.0,13,067,031115,0.6819767441860465
"Census Tract 311.16, Cobb County, Georgia",1761.0,883.0,878.0,13,067,031116,0.501419647927314
"Census Tract 311.17, Cobb County, Georgia",2238.0,1727.0,511.0,13,067,031117,0.7716711349419124
"Census Tract 311.18, Cobb County, Georgia",2412.0,1583.0,829.0,13,067,031118,0.656301824212272
"Census Tract 312.05, Cobb County, Georgia",2865.0,1503.0,1362.0,13,067,031205,0.5246073298429319
"Census Tract 312.06, Cobb County, Georgia",5361.0,2488.0,2873.0,13,067,031206,0.46409252005222906
"Census Tract 312.07, Cobb County, Georgia",2690.0,690.0,2000.0,13,067,031207,0.25650557620817843
"Census Tract 312.08, Cobb County, Georgia",3082.0,979.0,2103.0,13,067,031208,0.31765087605451003
"Census Tract 303.29, Cobb County, Georgia",1669.0,1433.0,236.0,13,067,030329,0.8585979628520072
"Census Tract 303.37, Cobb County, Georgia",1587.0,1520.0,67.0,13,067,030337,0.9577819785759294
"Census Tract 309.01, Cobb County, Georgia",3261.0,2129.0,1132.0,13,067,030901,0.6528672186445875
"Census Tract 311.11, Cobb County, Georgia",1959.0,1354.0,605.0,13,067,031111,0.6911689637570189
"Census Tract 315.05, Cobb County, Georgia",2244.0,1657.0,587.0,13,067,031505,0.7384135472370766
"Census Tract 302.15, Cobb County, Georgia",3189.0,2649.0,540.0,13,067,030215,0.8306679209783632
"Census Tract 303.13, Cobb County, Georgia",3019.0,2551.0,468.0,13,067,030313,0.8449817820470354
"Census Tract 303.18, Cobb County, Georgia",2776.0,2591.0,185.0,13,067,030318,0.93335734870317
"Census Tract 309.04, Cobb County, Georgia",2557.0,1066.0,1491.0,13,067,030904,0.4168947985921001
"Census Tract 310.02, Cobb County, Georgia",3279.0,881.0,2398.0,13,067,031002,0.2686794754498323
"Census Tract 313.11, Cobb County, Georgia",3527.0,1400.0,2127.0,13,067,031311,0.39693790757017294
"Census Tract 314.06, Cobb County, Georgia",3295.0,998.0,2297.0,13,067,031406,0.30288315629742035
"Census Tract 303.19, Cobb County, Georgia",1762.0,1589.0,173.0,13,067,030319,0.9018161180476731
"Census Tract 303.22, Cobb County, Georgia",1194.0,1057.0,137.0,13,067,030322,0.8852596314907872
"Census Tract 303.33, Cobb County, Georgia",2156.0,2016.0,140.0,13,067,030333,0.935064935064935
"Census Tract 314.04, Cobb County, Georgia",2164.0,1662.0,502.0,13,067,031404,0.7680221811460258
"Census Tract 301.01, Cobb County, Georgia",2746.0,2188.0,558.0,13,067,030101,0.7967953386744355
"Census Tract 302.14, Cobb County, Georgia",2950.0,2424.0,526.0,13,067,030214,0.8216949152542373
"Census Tract 303.34, Cobb County, Georgia",1258.0,1108.0,150.0,13,067,030334,0.8807631160572337
"Census Tract 303.24, Cobb County, Georgia",1225.0,1030.0,195.0,13,067,030324,0.8408163265306122
"Census Tract 303.31, Cobb County, Georgia",1983.0,1880.0,103.0,13,067,030331,0.9480584972264247
"Census Tract 211.02, DeKalb County, Georgia",3203.0,1813.0,1390.0,13,089,021102,0.5660318451451763
"Census Tract 212.16, DeKalb County, Georgia",4112.0,842.0,3270.0,13,089,021216,0.20476653696498054
"Census Tract 211.01, DeKalb County, Georgia",1468.0,1311.0,157.0,13,089,021101,0.8930517711171662
"Census Tract 212.15, DeKalb County, Georgia",2638.0,795.0,1843.0,13,089,021215,0.30136467020470054
"Census Tract 212.17, DeKalb County, Georgia",950.0,680.0,270.0,13,089,021217,0.7157894736842105
"Census Tract 212.18, DeKalb County, Georgia",3450.0,1290.0,2160.0,13,089,021218,0.3739130434782609
"Census Tract 213.05, DeKalb County, Georgia",1492.0,565.0,927.0,13,089,021305,0.37868632707774796
"Census Tract 202, DeKalb County, Georgia",983.0,571.0,412.0,13,089,020200,0.5808748728382502
"Census Tract 213.03, DeKalb County, Georgia",1695.0,682.0,1013.0,13,089,021303,0.4023598820058997
"Census Tract 214.05, DeKalb County, Georgia",2281.0,1670.0,611.0,13,089,021405,0.7321350284962735
"Census Tract 204, DeKalb County, Georgia",1245.0,841.0,404.0,13,089,020400,0.6755020080321286
"Census Tract 208.01, DeKalb County, Georgia",1046.0,831.0,215.0,13,089,020801,0.7944550669216062
"Census Tract 212.10, DeKalb County, Georgia",1987.0,1939.0,48.0,13,089,021210,0.9758429793658782
"Census Tract 212.11, DeKalb County, Georgia",2044.0,1952.0,92.0,13,089,021211,0.9549902152641878
"Census Tract 217.06, DeKalb County, Georgia",2325.0,1555.0,770.0,13,089,021706,0.6688172043010753
"Census Tract 230, DeKalb County, Georgia",973.0,668.0,305.0,13,089,023000,0.6865364850976362
"Census Tract 218.12, DeKalb County, Georgia",858.0,627.0,231.0,13,089,021812,0.7307692307692307
"Census Tract 219.07, DeKalb County, Georgia",3567.0,2329.0,1238.0,13,089,021907,0.6529296327446034
"Census Tract 223.01, DeKalb County, Georgia",3075.0,1809.0,1266.0,13,089,022301,0.5882926829268292
"Census Tract 231.01, DeKalb County, Georgia",1721.0,1031.0,690.0,13,089,023101,0.5990703079604881
"Census Tract 231.08, DeKalb County, Georgia",1843.0,685.0,1158.0,13,089,023108,0.3716766142159523
"Census Tract 218.10, DeKalb County, Georgia",2708.0,1672.0,1036.0,13,089,021810,0.6174298375184638
"Census Tract 220.08, DeKalb County, Georgia",2271.0,421.0,1850.0,13,089,022008,0.18538088947600176
"Census Tract 229, DeKalb County, Georgia",1678.0,1350.0,328.0,13,089,022900,0.8045292014302742
"Census Tract 231.02, DeKalb County, Georgia",1539.0,683.0,856.0,13,089,023102,0.4437946718648473
"Census Tract 234.10, DeKalb County, Georgia",1701.0,422.0,1279.0,13,089,023410,0.24808935920047032
"Census Tract 213.06, DeKalb County, Georgia",1941.0,619.0,1322.0,13,089,021306,0.3189077794951056
"Census Tract 213.07, DeKalb County, Georgia",1245.0,713.0,532.0,13,089,021307,0.5726907630522088
"Census Tract 213.08, DeKalb County, Georgia",1523.0,714.0,809.0,13,089,021308,0.46881155613919895
"Census Tract 214.09, DeKalb County, Georgia",1339.0,110.0,1229.0,13,089,021409,0.08215085884988797
"Census Tract 214.10, DeKalb County, Georgia",2062.0,786.0,1276.0,13,089,021410,0.38118331716779824
