NAME,total_vacant,vacant_for_rent,vacant_for_sale,state,county,tract
"Census Tract 301.03, Cobb County, Georgia",296.0,45.0,71.0,13,067,030103
"Census Tract 303.10, Cobb County, Georgia",146.0,0.0,107.0,13,067,030310
"Census Tract 303.20, Cobb County, Georgia",371.0,84.0,141.0,13,067,030320
"Census Tract 303.27, Cobb County, Georgia",73.0,0.0,0.0,13,067,030327
"Census Tract 303.14, Cobb County, Georgia",134.0,0.0,0.0,13,067,030314
"Census Tract 303.39, Cobb County, Georgia",281.0,94.0,0.0,13,067,030339
"Census Tract 313.07, Cobb County, Georgia",106.0,0.0,0.0,13,067,031307
"Census Tract 303.12, Cobb County, Georgia",60.0,0.0,0.0,13,067,030312
"Census Tract 310.05, Cobb County, Georgia",153.0,20.0,67.0,13,067,031005
"Census Tract 303.30, Cobb County, Georgia",44.0,0.0,0.0,13,067,030330
"Census Tract 307, Cobb County, Georgia",208.0,76.0,34.0,13,067,030700
"Census Tract 303.35, Cobb County, Georgia",61.0,0.0,61.0,13,067,030335
"Census Tract 312.09, Cobb County, Georgia",68.0,0.0,24.0,13,067,031209
"Census Tract 312.11, Cobb County, Georgia",308.0,176.0,0.0,13,067,031211
"Census Tract 312.12, Cobb County, Georgia",53.0,0.0,35.0,13,067,031212
"Census Tract 313.12, Cobb County, Georgia",345.0,0.0,59.0,13,067,031312
"Census Tract 313.13, Cobb County, Georgia",128.0,12.0,59.0,13,067,031313
"Census Tract 314.08, Cobb County, Georgia",140.0,0.0,0.0,13,067,031408
"Census Tract 314.09, Cobb County, Georgia",148.0,18.0,18.0,13,067,031409
"Census Tract 315.06, Cobb County, Georgia",86.0,0.0,0.0,13,067,031506
"Census Tract 315.07, Cobb County, Georgia",72.0,14.0,0.0,13,067,031507
"Census Tract 315.08, Cobb County, Georgia",10.0,0.0,0.0,13,067,031508
"Census Tract 315.09, Cobb County, Georgia",256.0,0.0,66.0,13,067,031509
"Census Tract 303.32, Cobb County, Georgia",11.0,0.0,0.0,13,067,030332
"Census Tract 303.36, Cobb County, Georgia",61.0,0.0,31.0,13,067,030336
"Census Tract 304.05, Cobb County, Georgia",112.0,35.0,0.0,13,067,030405
"Census Tract 305.04, Cobb County, Georgia",234.0,36.0,90.0,13,067,030504
"Census Tract 309.02, Cobb County, Georgia",171.0,69.0,39.0,13,067,030902
"Census Tract 311.01, Cobb County, Georgia",242.0,112.0,0.0,13,067,031101
"Census Tract 311.10, Cobb County, Georgia",138.0,54.0,0.0,13,067,031110
"Census Tract 313.06, Cobb County, Georgia",0.0,0.0,0.0,13,067,031306
"Census Tract 314.05, Cobb County, Georgia",165.0,32.0,0.0,13,067,031405
"Census Tract 302.09, Cobb County, Georgia",83.0,11.0,0.0,13,067,030209
"Census Tract 303.28, Cobb County, Georgia",0.0,0.0,0.0,13,067,030328
"Census Tract 309.05, Cobb County, Georgia",31.0,0.0,13.0,13,067,030905
"Census Tract 310.01, Cobb County, Georgia",182.0,42.0,0.0,13,067,031001
"Census Tract 311.12, Cobb County, Georgia",183.0,117.0,0.0,13,067,031112
"Census Tract 315.03, Cobb County, Georgia",190.0,40.0,0.0,13,067,031503
"Census Tract 303.11, Cobb County, Georgia",150.0,0.0,0.0,13,067,030311
"Census Tract 303.26, Cobb County, Georgia",106.0,34.0,0.0,13,067,030326
"Census Tract 305.02, Cobb County, Georgia",244.0,44.0,22.0,13,067,030502
"Census Tract 305.05, Cobb County, Georgia",174.0,174.0,0.0,13,067,030505
"Census Tract 308, Cobb County, Georgia",254.0,169.0,0.0,13,067,030800
"Census Tract 310.04, Cobb County, Georgia",171.0,21.0,0.0,13,067,031004
"Census Tract 311.06, Cobb County, Georgia",159.0,0.0,42.0,13,067,031106
"Census Tract 311.08, Cobb County, Georgia",355.0,39.0,56.0,13,067,031108
"Census Tract 313.08, Cobb County, Georgia",165.0,0.0,55.0,13,067,031308
"Census Tract 313.09, Cobb County, Georgia",457.0,76.0,87.0,13,067,031309
"Census Tract 313.10, Cobb County, Georgia",247.0,80.0,66.0,13,067,031310
"Census Tract 302.28, Cobb County, Georgia",186.0,109.0,0.0,13,067,030228
"Census Tract 302.30, Cobb County, Georgia",536.0,163.0,84.0,13,067,030230
"Census Tract 302.32, Cobb County, Georgia",64.0,0.0,0.0,13,067,030232
"Census Tract 302.33, Cobb County, Georgia",0.0,0.0,0.0,13,067,030233
"Census Tract 302.34, Cobb County, Georgia",18.0,0.0,0.0,13,067,030234
"Census Tract 302.35, Cobb County, Georgia",77.0,0.0,40.0,13,067,030235
"Census Tract 302.36, Cobb County, Georgia",95.0,31.0,0.0,13,067,030236
"Census Tract 302.38, Cobb County, Georgia",30.0,0.0,0.0,13,067,030238
"Census Tract 302.39, Cobb County, Georgia",172.0,0.0,153.0,13,067,030239
"Census Tract 303.40, Cobb County, Georgia",37.0,0.0,29.0,13,067,030340
"Census Tract 303.41, Cobb County, Georgia",44.0,35.0,0.0,13,067,030341
"Census Tract 303.42, Cobb County, Georgia",0.0,0.0,0.0,13,067,030342
"Census Tract 303.43, Cobb County, Georgia",36.0,0.0,26.0,13,067,030343
"Census Tract 303.44, Cobb County, Georgia",302.0,168.0,0.0,13,067,030344
"Census Tract 303.45, Cobb County, Georgia",450.0,153.0,0.0,13,067,030345
"Census Tract 304.07, Cobb County, Georgia",124.0,0.0,0.0,13,067,030407
"Census Tract 304.08, Cobb County, Georgia",179.0,99.0,23.0,13,067,030408
"Census Tract 304.09, Cobb County, Georgia",79.0,0.0,42.0,13,067,030409
"Census Tract 304.10, Cobb County, Georgia",177.0,177.0,0.0,13,067,030410
"Census Tract 304.11, Cobb County, Georgia",182.0,103.0,0.0,13,067,030411
"Census Tract 304.12, Cobb County, Georgia",177.0,158.0,0.0,13,067,030412
"Census Tract 304.13, Cobb County, Georgia",233.0,217.0,16.0,13,067,030413
"Census Tract 304.14, Cobb County, Georgia",120.0,91.0,0.0,13,067,030414
