param,param_value,policy,seed,metric,value,diff_from_baseline
consumption_alpha,0.2,baseline,0,homeownership_rate,0.4645669291338583,0.0
consumption_alpha,0.2,baseline,0,rental_vacancy_rate,0.21818181818181817,0.0
consumption_alpha,0.2,baseline,0,annual_appreciation_g,-0.017221871832461932,0.0
consumption_alpha,0.2,waiting_period,0,homeownership_rate,0.43031784841075793,-0.034249080723100345
consumption_alpha,0.2,waiting_period,0,rental_vacancy_rate,0.06607929515418502,-0.15210252302763316
consumption_alpha,0.2,waiting_period,0,annual_appreciation_g,-0.03,-0.012778128167538066
consumption_alpha,0.2,ownership_cap_soft,0,homeownership_rate,0.49744897959183676,0.032882050457978484
consumption_alpha,0.2,ownership_cap_soft,0,rental_vacancy_rate,0.2544642857142857,0.03628246753246753
consumption_alpha,0.2,ownership_cap_soft,0,annual_appreciation_g,-0.0023985923800111664,0.014823279452450766
consumption_alpha,0.2,ownership_cap_hard,0,homeownership_rate,0.4401041666666667,-0.02446276246719159
consumption_alpha,0.2,ownership_cap_hard,0,rental_vacancy_rate,0.18552036199095023,-0.03266145619086794
consumption_alpha,0.2,ownership_cap_hard,0,annual_appreciation_g,-0.03,-0.012778128167538066
consumption_alpha,0.2,purchase_tax,0,homeownership_rate,0.4704370179948586,0.005870088861000322
consumption_alpha,0.2,purchase_tax,0,rental_vacancy_rate,0.20982142857142858,-0.008360389610389596
consumption_alpha,0.2,purchase_tax,0,annual_appreciation_g,-0.022870462396402003,-0.00564859056394007
consumption_alpha,0.2,vacancy_tax,0,homeownership_rate,0.4362244897959184,-0.028342439337939895
consumption_alpha,0.2,vacancy_tax,0,rental_vacancy_rate,0.15178571428571427,-0.0663961038961039
consumption_alpha,0.2,vacancy_tax,0,annual_appreciation_g,-0.03,-0.012778128167538066
consumption_alpha,0.2,portfolio_tax,0,homeownership_rate,0.4645669291338583,0.0
consumption_alpha,0.2,portfolio_tax,0,rental_vacancy_rate,0.21818181818181817,0.0
consumption_alpha,0.2,portfolio_tax,0,annual_appreciation_g,-0.017221871832461932,0.0
consumption_alpha,0.2,geographic,0,homeownership_rate,0.27979274611398963,-0.18477418301986864
consumption_alpha,0.2,geographic,0,rental_vacancy_rate,0.10140845070422536,-0.11677336747759282
consumption_alpha,0.2,geographic,0,annual_appreciation_g,-0.03,-0.012778128167538066
consumption_alpha,0.2,baseline,1,homeownership_rate,0.4148681055155875,0.0
consumption_alpha,0.2,baseline,1,rental_vacancy_rate,0.1171875,0.0
consumption_alpha,0.2,baseline,1,annual_appreciation_g,-0.03,0.0
consumption_alpha,0.2,waiting_period,1,homeownership_rate,0.37735849056603776,-0.03750961494954974
consumption_alpha,0.2,waiting_period,1,rental_vacancy_rate,0.19838056680161945,0.08119306680161945
consumption_alpha,0.2,waiting_period,1,annual_appreciation_g,-0.03,0.0
consumption_alpha,0.2,ownership_cap_soft,1,homeownership_rate,0.4122137404580153,-0.0026543650575722166
consumption_alpha,0.2,ownership_cap_soft,1,rental_vacancy_rate,0.23381294964028776,0.11662544964028776
consumption_alpha,0.2,ownership_cap_soft,1,annual_appreciation_g,0.04063393847859409,0.07063393847859409
consumption_alpha,0.2,ownership_cap_hard,1,homeownership_rate,0.40554156171284633,-0.009326543802741172
consumption_alpha,0.2,ownership_cap_hard,1,rental_vacancy_rate,0.21189591078066913,0.09470841078066913
consumption_alpha,0.2,ownership_cap_hard,1,annual_appreciation_g,-0.022977223836690097,0.007022776163309902
consumption_alpha,0.2,purchase_tax,1,homeownership_rate,0.39598997493734334,-0.018878130578244168
consumption_alpha,0.2,purchase_tax,1,rental_vacancy_rate,0.10756972111553785,-0.00961777888446215
consumption_alpha,0.2,purchase_tax,1,annual_appreciation_g,-0.03,0.0
consumption_alpha,0.2,vacancy_tax,1,homeownership_rate,0.4417989417989418,0.026930836283354298
consumption_alpha,0.2,vacancy_tax,1,rental_vacancy_rate,0.23481781376518218,0.11763031376518218
consumption_alpha,0.2,vacancy_tax,1,annual_appreciation_g,-0.014135181768930472,0.015864818231069527
consumption_alpha,0.2,portfolio_tax,1,homeownership_rate,0.4148681055155875,0.0
consumption_alpha,0.2,portfolio_tax,1,rental_vacancy_rate,0.1171875,0.0
consumption_alpha,0.2,portfolio_tax,1,annual_appreciation_g,-0.03,0.0
consumption_alpha,0.2,geographic,1,homeownership_rate,0.18393782383419688,-0.23093028168139063
consumption_alpha,0.2,geographic,1,rental_vacancy_rate,0.13172043010752688,0.014532930107526876
consumption_alpha,0.2,geographic,1,annual_appreciation_g,0.0,0.03
consumption_alpha,0.2,baseline,2,homeownership_rate,0.435,0.0
consumption_alpha,0.2,baseline,2,rental_vacancy_rate,0.005025125628140704,0.0
consumption_alpha,0.2,baseline,2,annual_appreciation_g,-0.009467122365846792,0.0
consumption_alpha,0.2,waiting_period,2,homeownership_rate,0.49019607843137253,0.05519607843137253
consumption_alpha,0.2,waiting_period,2,rental_vacancy_rate,0.1926605504587156,0.1876354248305749
consumption_alpha,0.2,waiting_period,2,annual_appreciation_g,-0.017019409895488447,-0.007552287529641655
consumption_alpha,0.2,ownership_cap_soft,2,homeownership_rate,0.4317617866004963,-0.0032382133995036977
consumption_alpha,0.2,ownership_cap_soft,2,rental_vacancy_rate,0.0,-0.005025125628140704
consumption_alpha,0.2,ownership_cap_soft,2,annual_appreciation_g,-0.0020041715068320753,0.0074629508590147164
consumption_alpha,0.2,ownership_cap_hard,2,homeownership_rate,0.43291139240506327,-0.002088607594936731
consumption_alpha,0.2,ownership_cap_hard,2,rental_vacancy_rate,0.015,0.009974874371859295
consumption_alpha,0.2,ownership_cap_hard,2,annual_appreciation_g,-0.00409786973545978,0.005369252630387011
consumption_alpha,0.2,purchase_tax,2,homeownership_rate,0.40302267002518893,-0.031977329974811064
consumption_alpha,0.2,purchase_tax,2,rental_vacancy_rate,0.04035874439461883,0.03533361876647813
consumption_alpha,0.2,purchase_tax,2,annual_appreciation_g,-0.03,-0.020532877634153207
consumption_alpha,0.2,vacancy_tax,2,homeownership_rate,0.44155844155844154,0.006558441558441541
consumption_alpha,0.2,vacancy_tax,2,rental_vacancy_rate,0.14601769911504425,0.14099257348690356
consumption_alpha,0.2,vacancy_tax,2,annual_appreciation_g,-0.03,-0.020532877634153207
consumption_alpha,0.2,portfolio_tax,2,homeownership_rate,0.435,0.0
consumption_alpha,0.2,portfolio_tax,2,rental_vacancy_rate,0.005025125628140704,0.0
consumption_alpha,0.2,portfolio_tax,2,annual_appreciation_g,-0.009467122365846792,0.0
consumption_alpha,0.2,geographic,2,homeownership_rate,0.27970297029702973,-0.15529702970297027
consumption_alpha,0.2,geographic,2,rental_vacancy_rate,0.12362637362637363,0.11860124799823293
consumption_alpha,0.2,geographic,2,annual_appreciation_g,0.027746901371248578,0.03721402373709537
consumption_alpha,0.2,baseline,3,homeownership_rate,0.4739454094292804,0.0
consumption_alpha,0.2,baseline,3,rental_vacancy_rate,0.24782608695652175,0.0
consumption_alpha,0.2,baseline,3,annual_appreciation_g,-0.018964710782448546,0.0
consumption_alpha,0.2,waiting_period,3,homeownership_rate,0.5380710659898477,0.06412565656056729
consumption_alpha,0.2,waiting_period,3,rental_vacancy_rate,0.3047619047619048,0.05693581780538304
consumption_alpha,0.2,waiting_period,3,annual_appreciation_g,0.0,0.018964710782448546
consumption_alpha,0.2,ownership_cap_soft,3,homeownership_rate,0.43896103896103894,-0.03498437046824143
